Date,Number of New Positive Cases in Last 24 Hrs,Total Number of Positive Cases to Date,Number of New Tests in Last 24 Hrs,Total Number of Tests to Date,Total Number of Active Cases Undergoing Treatment to Date,Number of New Recovered Cases in Last 24 Hrs,Total Number of Recovered Cases to Date,Number of New Deaths in Last 24 Hrs,Total Number of Deaths to Date,Total Number of Acute Cases under Hospital Treatment,Number of New Acute Hospital Admissions in Last 24 Hrs,Total Number of Cases under ICU Treatment,Number of New ICU Admissions in Last 24 Hrs,Total Number of Vaccine Doses Administered in Last 24 Hrs,Total Number of Vaccine Doses Administered Since Start of Vaccination Campaign
6/18/2020,1267,84441,4869,309670,20713,1470,63642,4,86,1124,142,230,11,,
6/19/2020,1021,85462,3831,313501,19960,1767,65409,7,93,1157,160,221,16,,
6/20/2020,1026,86488,4193,317694,19631,1354,66763,1,94,1164,125,224,14,,
6/21/2020,881,87369,3098,320792,18952,1556,68319,4,98,1124,112,221,8,,
6/22/2020,1034,88403,3778,324570,18348,1637,69956,1,99,1072,111,219,11,,
6/23/2020,1176,89579,4371,328941,17979,1545,71501,0,99,1087,131,225,17,,
6/24/2020,1199,90778,4231,333172,17591,1582,73083,5,104,1068,100,219,7,,
6/25/2020,1060,91838,4324,337496,17188,1461,74544,2,106,993,126,212,11,,
6/26/2020,946,92784,4418,341914,16603,1528,76072,3,109,963,117,200,7,,
6/27/2020,879,93663,3777,345691,16328,1153,77225,1,110,922,80,205,14,,
6/28/2020,750,94413,3462,349153,15601,1477,78702,0,110,926,94,201,8,,
6/29/2020,693,95106,3506,352659,14823,1468,80170,3,113,914,93,203,9,,
6/30/2020,982,96088,4173,356832,14411,1394,81564,0,113,878,113,200,9,,
7/1/2020,915,97003,3670,360502,12923,2401,83965,2,115,832,74,190,7,,
7/2/2020,894,97897,5593,366095,11182,2632,86597,3,118,779,85,187,6,,
7/3/2020,756,98653,5910,372005,9949,1986,88583,3,121,765,91,185,10,,
7/4/2020,530,99183,4876,376881,8673,1804,90387,2,123,735,63,176,10,,
7/5/2020,616,99799,4553,381434,7387,1897,92284,5,128,699,52,175,8,,
7/6/2020,546,100345,4677,386111,6314,1614,93898,5,133,706,62,164,9,,
7/7/2020,600,100945,4886,390997,5908,1005,94903,1,134,714,67,154,7,,
7/8/2020,608,101533,5202,396199,5308,1204,96107,4,138,712,60,154,8,,
7/9/2020,557,102110,4568,400767,4696,1165,97272,4,142,700,48,145,4,,
7/10/2020,520,102630,4101,404868,4101,961,98233,4,146,699,64,139,7,,
7/11/2020,498,103128,4331,409119,4048,701,98934,0,146,661,43,141,11,,
7/12/2020,470,103598,3483,412682,3708,809,99743,1,147,636,44,140,6,,
7/13/2020,418,104016,3645,416327,3240,884,100627,2,149,617,30,139,4,,
7/14/2020,517,104533,4322,420649,3223,533,101160,1,150,603,50,137,9,,
7/15/2020,450,104983,4209,424858,3195,477,101637,1,151,592,52,135,5,,
7/16/2020,494,105477,5803,430661,3157,531,102168,1,152,564,45,135,9,,
7/17/2020,421,105898,4923,435584,3148,429,102597,1,153,545,41,132,7,,
7/18/2020,410,106308,3406,438990,3131,426,103023,1,154,530,29,132,4,,
7/19/2020,340,106648,2710,441700,3114,354,103377,3,157,526,42,128,8,,
7/20/2020,389,107037,4336,446036,3096,405,103782,2,159,537,30,126,9,,
7/21/2020,393,107430,5132,451168,3079,409,104191,1,160,549,51,119,3,,
7/22/2020,441,107871,4630,455798,3067,450,104641,3,163,551,56,113,4,,
7/23/2020,373,108244,3525,459323,3062,377,105018,1,164,530,43,114,6,,
7/24/2020,394,108638,5351,464674,3054,402,105420,0,164,528,41,101,7,,
7/25/2020,398,109036,4326,469000,3122,330,105750,0,164,516,43,98,4,,
7/26/2020,269,109305,3442,472442,3116,274,106024,1,165,531,40,89,2,,
7/27/2020,292,109597,4752,477194,3104,304,106328,0,165,502,40,92,3,,
7/28/2020,283,109880,4736,481930,3110,275,106603,2,167,496,51,92,5,,
7/29/2020,273,110153,5505,487435,3135,246,106849,2,169,470,34,97,5,,
7/30/2020,307,110460,5134,492569,3154,286,107135,2,171,420,43,91,5,,
7/31/2020,235,110695,2808,495377,3144,242,107377,3,174,406,29,77,2,,
8/1/2020,216,110911,3289,498666,3159,201,107578,0,174,397,29,75,1,,
8/2/2020,196,111107,1870,500536,3151,201,107779,3,177,398,31,76,4,,
8/3/2020,215,111322,2256,502792,3143,223,108002,0,177,395,48,75,2,,
8/4/2020,216,111538,2356,505148,3107,252,108254,0,177,390,34,73,2,,
8/5/2020,267,111805,2931,508079,3088,285,108539,1,178,389,35,75,4,,
8/6/2020,287,112092,2921,511000,3083,292,108831,0,178,394,38,77,4,,
8/7/2020,291,112383,2930,513930,3061,311,109142,2,180,383,41,82,5,,
8/8/2020,267,112650,2895,516825,3030,296,109438,2,182,394,43,78,3,,
8/9/2020,297,112947,3535,520360,3054,271,109709,2,184,418,54,80,4,,
8/10/2020,315,113262,4106,524466,3081,284,109993,4,188,428,48,75,2,,
8/11/2020,384,113646,4823,529289,3134,331,110324,0,188,424,41,77,6,,
8/12/2020,292,113938,4706,533995,3121,303,110627,2,190,449,57,75,3,,
8/13/2020,343,114281,4607,538602,3134,330,110957,0,190,438,38,74,4,,
8/14/2020,251,114532,3916,542518,3084,301,111258,0,190,447,58,71,4,,
8/15/2020,277,114809,3767,546285,3112,247,111505,2,192,478,49,69,6,,
8/16/2020,271,115080,4988,551273,3093,289,111794,1,193,447,41,74,5,,
8/17/2020,288,115368,4697,555970,3087,294,112088,1,193,454,46,69,6,,
8/18/2020,293,155661,5020,560990,3113,267,112355,0,193,447,53,68,3,,
8/19/2020,295,115956,5023,566013,3105,303,112658,0,193,416,33,66,2,,
8/20/2020,268,116224,6260,572273,3107,266,112924,0,193,425,44,64,4,,
8/21/2020,257,116481,4849,577122,3072,292,113216,0,193,419,32,66,5,,
8/22/2020,284,116765,7001,584123,3041,315,113531,0,193,432,39,65,4,,
8/23/2020,243,117008,5797,589920,3007,277,113808,0,193,443,34,68,3,,
8/24/2020,258,117266,4295,594215,2973,291,114099,1,194,445,37,67,2,,
8/25/2020,232,117498,5232,599447,2986,219,114318,0,194,425,34,68,5,,
8/26/2020,244,117742,4665,604112,2990,240,114558,0,194,433,41,63,1,,
8/27/2020,246,117988,5146,609258,2996,239,114797,1,195,423,42,66,7,,
8/28/2020,208,118196,5096,614354,2983,220,115017,1,196,427,46,68,4,,
8/29/2020,211,118407,5774,620128,2960,234,115251,0,196,413,34,67,7,,
8/30/2020,168,118575,4481,624609,2948,179,115430,1,197,409,33,66,3,,
8/31/2020,203,118778,5222,629831,2914,237,115667,0,197,392,32,68,5,,
9/1/2020,216,118994,4914,634745,2901,228,115895,1,198,389,37,65,5,,
9/2/2020,212,119206,4997,639742,2896,216,116111,1,199,382,31,60,2,,
9/3/2020,214,119240,5162,644904,2906,202,116313,2,201,390,40,58,3,,
9/4/2020,217,119637,5344,650248,2898,225,116538,0,201,391,38,54,3,,
9/5/2020,227,119864,4725,654973,2882,242,116780,1,202,397,37,51,3,,
9/6/2020,231,120095,5035,660008,2894,218,116998,1,203,405,36,49,3,,
9/7/2020,253,120348,3640,663648,2902,243,117241,2,205,412,35,59,8,,
9/8/2020,231,120579,4288,667936,2877,256,117497,0,205,408,41,49,4,,
9/9/2020,267,120846,4163,672099,2895,249,117746,0,205,400,44,51,2,,
9/10/2020,206,121052,4071,676170,2869,232,117978,0,205,392,50,47,3,,
9/11/2020,235,121287,4463,680633,2883,221,118199,0,205,375,43,50,7,,
9/12/2020,236,121523,5206,685839,2843,276,118475,0,205,401,42,48,1,,
9/13/2020,217,121740,5192,691031,2853,207,118682,0,205,408,37,50,4,,
9/14/2020,235,121975,4396,695427,2837,249,118931,2,207,411,47,55,5,,
9/15/2020,239,122214,4987,700414,2862,213,119114,1,208,424,52,55,6,,
9/16/2020,235,122449,4568,704982,2841,256,119400,0,208,415,36,55,1,,
9/17/2020,244,122693,4150,709132,2872,213,119613,0,208,418,45,58,7,,
9/18/2020,224,122917,5051,714183,2886,209,119822,0,209,405,36,59,3,,
9/19/2020,229,123146,4874,719057,4874,267,120089,0,209,414,40,58,5,,
9/20/2020,230,123376,5020,724077,2863,214,120303,1,210,427,30,60,4,,
9/21/2020,228,123604,5468,729545,2853,237,120540,1,211,427,45,62,5,,
9/22/2020,313,123917,4590,734141,2940,226,120766,0,211,418,46,66,5,,
9/23/2020,258,124176,4950,739091,2957,240,121006,1,212,421,36,64,2,,
9/24/2020,250,124425,6039,745130,2950,257,121263,0,212,426,54,62,3,,
9/25/2020,225,124650,5974,751104,2926,249,121512,0,212,441,39,63,3,,
9/26/2020,200,124850,4261,755365,2898,226,121738,2,214,437,38,58,3,,
9/27/2020,234,125084,4902,760267,2875,257,121995,0,214,450,49,52,4,,
9/28/2020,227,125311,4658,764925,2888,214,122209,0,214,437,33,55,8,,
9/29/2020,222,125533,5288,770213,2871,239,122448,0,214,431,40,53,4,,
9/30/2020,227,125760,5701,775914,2847,251,122699,0,214,420,36,56,4,,
10/1/2020,199,125959,5214,781128,2834,212,122911,0,214,409,38,58,7,,
10/2/2020,205,126164,5096,786224,2841,197,123108,1,215,395,39,59,4,,
10/3/2020,175,126339,5200,791424,2821,194,123302,1,216,386,39,58,5,,
10/4/2020,159,126498,4344,795768,2807,173,123475,0,216,388,34,58,2,,
10/5/2020,194,126692,4751,800519,2812,189,123664,0,216,377,37,59,5,,
10/6/2020,251,126943,4846,805365,2834,229,123893,0,216,358,40,56,3,,
10/7/2020,238,127181,4662,810027,2855,215,124108,2,218,347,39,55,3,,
10/8/2020,213,127394,4994,815021,2849,219,124327,0,218,361,39,56,5,,
10/9/2020,206,127600,5347,820368,2822,232,124559,1,219,356,34,55,4,,
10/10/2020,178,127778,5143,825511,2792,208,124767,1,219,361,29,54,1,,
10/11/2020,207,127985,6430,831941,2787,211,124978,1,220,384,43,56,8,,
10/12/2020,206,128191,5545,837486,2795,198,125176,0,220,371,40,55,3,,
10/13/2020,214,128405,6079,843565,2812,197,125373,0,220,387,44,56,3,,
10/14/2020,198,128603,6173,849738,2799,211,125584,0,220,408,63,57,5,,
10/15/2020,200,128803,5416,855154,2779,218,125802,2,222,401,36,55,2,,
10/16/2020,189,128992,6082,861236,2764,204,126006,0,222,395,43,54,5,,
10/17/2020,235,129227,8621,869857,2786,212,126218,1,223,394,40,52,4,,
10/18/2020,204,129431,7485,877342,2801,188,126406,1,224,385,33,51,4,,
10/19/2020,240,129671,8844,886186,2797,244,126650,0,224,384,18,49,0,,
10/20/2020,273,129944,6748,892934,2854,216,126866,0,224,379,41,44,2,,
10/21/2020,266,130210,6505,899439,2892,227,127093,1,225,373,43,42,0,,
10/22/2020,252,130462,9444,908883,2906,235,127328,3,228,384,41,38,2,,
10/23/2020,249,130711,9665,918548,2883,271,127599,1,229,378,28,35,2,,
10/24/2020,254,130965,9032,927580,2868,269,127868,0,229,369,22,34,4,,
